id,prompt,answer,reference_steps,canary
111,pv3jptPwp83bxPzrsd6utvDNs9DNxPbIvvPXyP7XYXCnz4Gkz5C538Cu9J+88ve7nMOr0OGq/aPJ+vGL6cSfreWx8NzG1MOD+9OPt8CD5vW249SW2+PCjrnXrLraiajSr7fd3omGmanclL+Ir4fEpeHcwqzcj/3RqvLRrbeC/rCn9d+k49Snx/vE/Ptgecf40aDpwKyf16PO6rez67To76TNrqTror/w3g==,pOjopfnEru7DycPQsc6QtOPWeKTVu6v/waDft6b7yar92w==,c2tupdjRpubpxPzssdqdttfBsPTGxdL1v9bTx/vvuPLuvZzNtI3LpcHAq7zkrMvVyPjhq/PxoZati9fric3+EXKz1OXH4uaA8e2NlcaK2fx4VIT65WIfHBXXoKbVgpbTqbPR2bGFipTfhq2FgbjErtXd+K3QkOTQjvrTqqOD+LSk2c6m+Nym+dLG0fG7/ax4eqrdyk4TYGWz68jE/N212s+3mMM=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
112,pv3Oqu7bp87CxcHyvPyMtvn+sN7IxPHksv7ix9vUtujNtLvzvJzcqd3hfBBmcb3tlHao0MGryr/Iwu2B3f6em8iwzPzH8eqD8s+OuvKM8M9ggOn0V17KlafejLbatYnQpZXe3bSEtYregLiHo4HIqezTw50=,p8PGp/PMp+HpyfnR,c2tupcHepO7LxvHOvOaottHnuvDIxt7ZsfHwEnFiZKD45hmnz6i1w9Ch76yz39yyjcOo1/uh+aILUoTm53hLDmewzPfJ7MyNwe6KrdiN2Ny21NCQ4/XPsqnVj5vWjYTXta7R2baJk7zehZWGi7nLpsTS7ZPXiukfBoe+sTlXTBCk0viq3fJyt8OmcHez5rK89MN+faGoyA==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
113,p9TmpdX9pe7txP7PZnEQZ6324arNoKjL/qDVmqXow63/w8T5/sfKyKbl4sTuybHytqnjwK/V98m654TnzpTUrKD55aCY+Ifqy4XFoazK6JTryIbo54+BntGJsN6KnNKEvNaU8cj9mtWphdL8iNeRn4WJ+MmAjIOZu4S/vNbr89jj7anZzKvI0q28zaf5zcbI+qvt4aGl/6DR/7Wu8bTqw6TVgKf/gb/w3g==,caPi4g==,c2tupcHepO7LxtTds/WCtvH8sMP0z/LJsObSx/XytdTptL3xt5z2qPvHfBBkcb3tlKrB3aHvycm654XW8prHsajpxaOB1ofL9IfQvqzb9JTr34Ly6YyVsdy2vNOUr9e1vtC55CdTHBDespGHsY3OuevQ3K7RsendkfvVt7iA2qOq+9+l0/+myeXFzNa84Ii89MOy7erF4N+x6f7E+9y549e0jc21u+Kp0cSph+Sh4O7Dz8So8c2sqayKx/eC8vLDx9dDdw5YhPXyhNyPofTNls7Vhc7Fi6240Ymz07W63ZOs0Lntyvu21pWh3M610K27awBKDdCZ49G/ydW3v4Hrn6TowqDIwKTC4MT9yLv9rLTp4bDi3sXH6rDo3sft/LT9wbev5LWN3KTuxKqY7qfYyMnU5qjxxaO7lIbF8of66Mfd0a7MkZ7Yx4vk0sj01IDz3Iz62oXYmdC1rN+GvtGYmdGLuYKVy9SBsciZ9tyLl9rhuI22kNXludTitD0GSkLW0tmp9+qo0PqtvfSl6OfE7tSr7faijcKj3863r9C48e2myKSn2qC20Miv46yy3uq3oM1EemdurYGmhunFgvLzxdf5oeOhnNruh/jAyt7hgNPjjP7BgOim0bW72aGa0oy+0Yu5gLjV1KmizrTq27On3N63jbaQ1eW/09qb0KnggbDOrNXrq83Mt+a3p8HWSxd9aKj04qyO6qbWybu76bPQyKT/t6TPiLXd6a/TkLD5/rCd06r086joosbq6ovu45GB77LTwMbx4oPy6o6AyIP+wrfdzJfm2ci1j9a+igHQmJTWs7s=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
114,p9nmq+H0pPXNxtLulvbFwMCozPesocKh7t+1tN625uqp7aSl6Kq09Puv44K8y++xntiq9MCryqLH+eWL7OecvP2z1cTJ0/qA5uWOgtCN0Ou33cyd3+TLuKDZj6HUqrTQpb3d3q2JnIDQkqSEspvLsfnc27bfpubTrebTmIqA372l1c2m2dWl6MXH6O2xxoC79eGy4OjFyeW/5OjE/N245+q7oMi3mP2j/dY=,q+PYq/Xjpv7nFa3g7qWd3g==,c2tupcHepO7LxtTds/WCtvH8sMP0z/LJsObSx/XyuOz4t4fHtbb/jvas3aiz3OO8ocOq9NOp0bHG1c6J+/aQi9+wwcLG1/aN2/iNsf6DydG09eKX8vDLp4XXvZTRtrY/Bx0ZjoLn17iTxJ/53bur386gjJij0t2Z3+yB0o3zhojLoMHPr9fFtNegrerMpKjVrdPvquiBofnaovOOqf70ofnoEnFiGH19eKH7u7Ho+7Oh5Kni5H90Gg1SUVmI3+3G2/qu3qSd2t2GxOzF8f6D38eN1OmA6K84Bh8Q3Ie53JK925bDyP2I1pe53NSj24SAhJPiy66Zp4PS8b7Qqt+Fqsag8NStxce18L+s7/WunN+v7vuk6oSrwOCt3Jek7sei7f4VeLao1qrW/6ip1KPSwcjw1avTynYFEYfZ1Ifu+cXX2638oJDM1Ybc+MjOzYP4y43e6YT4rtG1szoOHBbQjpDRufrFyIvVn6vS95fxmtzyvIO0gxZTBNLqsNOL7Ye/zmV9aHmvwc+sjc2k0fLJx+an+sGiv+uj3/u6ifi198OnxI+D5MXDxKbQ9cbe0LDru6fh6XpldMi31Yb05ZX3kKLJ86G7xoXs6YDor05QS1C17MqU7OfIqYvWub3Xj4LTmqfcyZRTAgEAAAVY0Ia23MyXjYCs0Pmb3vqp0KPnh6HaoNX9r8TGvfesrO7SpKj4reDsqPmtqdXVoMO4pejqrOj+ycbfxfXpg/6oleOh5cTF//Ko89SmrqJpV0BBlOm8oOHrrYnUi+Lihs2IhtKDxeSB3OKG2JHWj6vXoLbRrYvSlKiOguzUrZnCiO3fkoPRz5CMgp3R9bfS867TieqLltSt8+2v4e1nooH+penMyPHjptXFoJjjptbH,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
115,pM3fptTlc2J5FKH44HAStdTHZHiit+ugyu23mf6159ukzpCowKERHAyu9J+9xcyzm8Cp59Cpx5fJ+uWG3uNISyqwz8HH4uaD8fONsf6A+cC7wuOV/+PJiLPXjK7XooXRianW2qGHuqHQg4SEhqTKt9HR+JfdksLTjcTQq7pWhojFofT5p/HNtMOxo9vQpJr0rPLYqtyPf3RudbWF6bnN567urKXrm7X07KzBkLHZ8LKo3qnWzavMo8n+w4Hd/p2Y/L3B2sX30oDyy46l1YL/9LXIwpfq5cukjNSxtde5h9GLlNbaoYe6od6ktISlo8qj5dHol92p+tOt5tO7iYHth6TQ/qbl2qfK5M/43g==,cHV5psT3,c2tupcHepO7Lye/Zsf+XttT/sNf6z/LJsNr3yO7ytfz+t5fftrzgpdLID3AZouLryc/aq/LBooW5hOPXgvL7KnV7aaKp04Tq4SI4YKPf2pnK4YnN8llGX9C3td+9mdCNi9az+MvdptWsnNDdotS3vYSo3suxtoqIu4WXmdvKxtXH9Kjfwajl+62S96Xp0sjR+qrJ9qCYwKPj8refwrbi3KXouqnssLXJ7azVjbD4y7yi/afqz6r9isfq5ov9yJy897bJxipLTEWI6vvI+OWD4M+C1dCG0Z7XuoHfhr7Ql7XSh5uClcXVub/IqNvdr53c7puBg4HR34fQ+LLflOaGjNWh9Pmu2PG996yj4Pqpjvet6/yq9pOq+MWt0JKkzOqgzv3F7+rH6v+p7szE6NJgZAx/f36t9P/BnO+H29aXxqOh59CgmuKK2v6G7YGh/siU7vaJ8NGBi7TQtIHSnIjSqbzWpPbI2Z8CDgENUA7Wl56OiOjIqLiNtLKGjrnR5P7V5uKp+e6r3dt5xPzGsPuascjSstf8x+Ljufnex+D+uOvltJzVtrThqP3Tq7zuoMTkxPf0qvz5oJGjhdP3hcjjyPjFrMGMnfnIit77xcbXjNbVhuHwaVwDEtOhrN2GlAYFBwfc35lQANakpQVV3qSI3du6gpiP09q30dCv04n+io/SoMvvrdbstvazrMPmqIbVrsbVqPyeq8/Iosikp+zEoNXjxP3Jxcz2p+Xvz+jJv/WOp+Dorfb/x7nVhPjnIRZVKwUmM0UKUIPS94259YHZ6rbc3pfU9sqZrNKwuDgDGhXTo6WBmcPbqY7IoudrXFhVMVsTSEoEg4ijh6KG19j41fv6q/TWqurLrLrApO7mxO7Fqs7yq5zCrfnDt6jqYWF9cbWF6bq98qvbzaus7qDHy8jDzanS+qauomlXQEGU2Zmh2OemoOSG3dWG0ICh6tWVz82H+vKPt7bQuL3Tr5TWtajVt87K8bTVhrrR5oLUuZGHvNPLsbaAqJ+Huo3W+/3U+v98c3+ozeitqNJzZHnF3/Ks1c5OF2BlsOXrxsz+ssXdtpj6u6jOqc75q7z8o9DFx9XKquTtoKethffXhPP2xcjmrfqHmuL4gd/kyMvKgtH9jc/WhPyF1L2G1rOy06ml0qm9g6Hb16+nyYzbCgMa3O2Oh626,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
116,p9nmq//QpvTwxeDmvdimu/7KvfPDE351ZqDXjKjX3KLb1sXzyMXh86Xx48/oybzprav0wq/SxceL+4bUzZfDhqDPzaGS44fU0YbzkKHL05XWyYTpzo+3ttymmN2XntyBjNStzsv5ndWct9HRqdyRpg==,enU=,c2tuDDgoL3IMTysmOCQAHik/JmwlTiplJSYzTmExPClhJkgkc0kjICAnKlN0JCo7VSEqbD0mIA5XDBMCBVxVABM9LGRJCw4EAAcbDSIKEB43RRUdQwpIElheQl8SQlxUWxMKSh1RAhBTQBQHSlxAGRVcAQ1VVwxaWwNYUxMNDFMuMComaDkpN2twLTU3IEkhJm8cPyhBICElZTNOJXAVJDImRTNzaSMgICcqDl53dnRjICM8KDwgDlQLBE4NEw1JMyAtIVNYDQNOFwBIZDUMBDAECAANSGRBWVBeXkEWVVtRE3wHXhVXQhhkRw1ZXUkZDlpEWVBTRVlWEhgXcAsMVis3I2M8JSAma2UlMiAkUnMBPDktKkRuLTc2ckFhODkiKTdSYT9BJCU1PCpFdG1qY+L/f3yrzvd9CU1rXU9SMEQiOz0tRgFCEQYGSEMlEQwfPQQNUhMJX1kVXl4ad1dHQVBBGS9eDVNeXA1VEhhhTEkAFCpYURYrVUMLWVlSCEJgIzclbUJ5b3IISCEiP2FUOy1vMCIwUi8rNSByRiQ1cCMuIAATMlAxbA88JwAaJCw9TyEvIGkeJFxLQwAABVIaTykzIDZNWAsRTgobDWBdVV4=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
117,qur5pvDjp9raxtvksPmgt/DEuvDIxsbvvsLhAHNgYnFht5n1cxZwqt3BbhNkZb7DhajUyKH658uqwof5xJTlv6jpxQdBFDExPDBIyPPXg/nsjc7IheK42oC11amY0o6uFXJLAkQAXBDft7CFgr/Kg8bR+5fRsfTbi/3Sj71EUABwdm6m8fmmyfPG69W7/ay158Cww+7F0f+/wsPH29S1wvu6lcW6gs2p49erqvSh4tLF69Sp+d+qkr8=,ASQiEBwfEnIoTyksPTVUNixvPCJkYR0DdgwKDGERAwNhBGkIfwAxIiVpD3MSZQ4daQZibCggIQ5UCwROAhMJSTM0JWRDFwwRHAoKWDAAAVAnCkEXAgtFElNEXl4SX1pWR1ZYFUgFElJBDQZXFAEbAE0BXB8DFlQCG1EDBh9TUAV5ZS8tLG10ZWcQdXN4cRhgaD0wPzRFLTE/MzdMOH4=,c2tuBCdtMjcqUicpdCdPIWgOJygtQSBiJWUBRSI/PiEgIFlhFVU+KDJpL1IxZTs1TCMrKGkPN0pJAg9OMhcaTykxKDZZWCQQAAdEDTYAAxUhFwQWQxxCElRCEHthcD4HGxN+CQ0VXRBZDUcEWUFOUUFRCkpRWAAURBdVXxMFERAALCAkZG0gPC8ANyQ1M0M7aCk6PmRjLykFEQBzo9DJNmFgEHNgADEiJWl8EGZxeARSJjgtPStla1EWCBoYUglPNSEvK0wRDUU+BhpLKxcIET0GBFIxDV1dR0UcMFpCQEVGCRZJWhZFHltMWBJMQV4XAlsJAl5fCVFETQNUAFNSAyRyLWwLLC0BH3IXESYoVjI8KhA9MUk6PAYgIEYuIj0kLzFFEzZQPz41DxdlZnVqYA4/KipDJjFaUBBbQU4FDldpNigoUwwQFkAAB0BrAwwcNhZORlFQTAAHVFUMHWZGXENSTQNoEEdZTFRkBEpVQksMVQpOXRtVAgRSBAcBV0xAJiNEcGZtEjcqUicpdCdPIWhtFB8CAm4sOGUmSCRwYnVzZgAzNlA/PjVpL04wZT49TituIyduNU9HBkFfQQYRQTN1CiVMKzY3PUMATDdFBh8+CAgGFw1JElxfEE5aRFFQFVVMCEkSCBB5fnJBcWsBGSBnIg1ufywYFwNYUxMlMXZiEwcKAWNhGz8AJyA6YUI2aDwwKSoAOi03MXJjIDwDERMBBzJzYzE8KD0vTHQGNzpUPScuPDogSgAXDk4EExpIZzM8KkRYCwtOUVgfcEUMA3NXV15RURkeBgYDARIHDAwZAg1UAVUCBwMNB1MMHxsPVxhXFA88URoXMVNWQQcKECQqPGNqDBIUaQAtL3Q1SDZofWV+dwA8ICYqIFRhMT4hYTRJLzcAPyJhOS9HMWVpdFQnLzhpDSRCczczPUYBWWMmJSAwQRRCJgENHF8tBxAENgFBFAwaDXNmdxBzahoUdGZ1GTBkKB4QWUNQQXlgaxk3fS1kGFcXURdQAhsEXVMcYnR5cWR6eGJnFnxzeGFBPSxvZ3pzDHhwYmlhEXVwIiAyIkUiJ0kmKS0wYCpha3gHVS06PigtMQ5UCwROBxseVTUwaStGWFBVXFBISzYKCFAnDQRSIAldW0FQXBpxWVpBR1pbE1kEVhBXSxQEWVBFGQdBCkkYXwsUBVIEAx9EA14mZTorLW0CMztJMCA4YWM8JjsnJSZVOiAyZT1GYREDA2EbeG1zYQMKYR8HaXhlOTpEbw8fD24TZ2kqQQcPEQtFJiYsIAAaG0VcVUQfclxJRWtXTVJSXgEBAAAcDQADGBVUXV1GGFYeAAkfGFEAAA1LBEcUSFtCDEJSDk8Z,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
118,quvvpObapuzFx97FvdqmttPtZ3x1FmN3ZnRrxfjktfjTtI/MtqfQqcngqJbyoPrKydrxq9PKBm9nMQ==,cmt/e3l4,c2tupsHApOzLxtTds/WCtPXesufdxejHFCw8R6b92ar93sXJ1cXY56fZ0sfg57/qrqjUyKDVw8u7wVNeUEScmfOwxs4SSFNcifnsyP3RgMr1g+vXhvmnOAcfENK8gdG6o9Wv1svUmNeVpNzVmtSWtoSe9smFpYC7poeOtNT+5tf8y6nZzKTa1K675nNkcBawyM5nfHUZq/ziosikpOnkoPv0xsv2xcHGSyhgADwxLCRTdWFjJCErS1lNBwcPExdDIns6LU4ZTAYBDkZOKkoGHyEVTgQKDVodQ3JyZXNaWHdAX1UDWQhcdF1ZVQhUHV1REQsXWVdVDl1TXwYHA1dRA2QsKn57fHZmexR2SzZvADs8OyU/fg9hMz81fFM1PzMubzRJLzJOMylvOidONWs7O01hLSJmLSpcUEwXBwQFVlYEFxYFTBQgEAIPDVktCyEVJwQIHk0YRUIKWFQHBAQGAQ0HAGweTxLVpIUGhYCZyoTw08+03qb504PA1Levgd+ip/TQp/LDperBxfzDscSMtsf3vc7lxPbZsd/WxcbQtc3otJbnsaDNo/3Fq57DoNDkx/HAq9PKrLWmhvrMU0JIFqLs/aeg+VBVX1qNlPCC//S22POX0vbJiLvViLDXjrbQsJ/c6ZWJsJHclaiGorfIvuHR7ITegMPRv+TTv5iA2opzcXhtcKn77aigxXNgcw5irPXqqcGjRHF4ZbSA+Lbd6wYTZxO0utSk7+ipjsOg3fjF88Gj9dRtyZvwh/P+l/mcaL3888Xf6YDu30FzH1RKWLTe8pT+98iLgRzYj4XTk77Qio1PcEwD34Sh0dme1qichq/cyIKig6GHh5ug3Nju1crcqvvyZXNmeQ51bmV1Fn1wZgsXdQ9md2Z0aw1zYGFzaA8NcG4RaGJwfGs=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
119,qur5pcHzpNXxxszrvMaTc3p/Z3hkxffxdnNyxt3YcHZxcsbW9sTowmF7fhJnZb3tlG94bK/SzQ4TU0GI9teeu/+z5tDPxO4mDw87eRY2RZjm4YXIxIGov9KMnt6Km9G6rda18Mv9stWcitP7vNeVsIWMzsWNsoGOkIWHjNbsyd/+yav6/qvN26+byqj/2cXb+KvowqO6yqz3/7eazrbe16Tor6LTog==,ECAvL2gIMiYqVCFtdKOgwHphZ2w0UHVlECwqRSVwGSsiPU0kfwB7fW94blAkfngEVS0iJSpuAF9VChUXTXhSEWllaTRQ,c2tuBCdtNT1rYyUtBxVyAGggMyotQyckOmUlRSMjOTEkckEvNwAjKSA7LUh0IzcmACY6P2l8dRwTQwAABVJLEHVhaS1ODgcWGg4NQzBFFRUhAw4ADglDUVARQl9CWUZBRhNLA14RV1NMREIEVEonWE8UDFlMRhYOGE1BQERKAVEuNjoxO2MiPSYPIig4JFN8e3lmdXEXL3RnahtuF3ViB3FrEnFhE3V+AwA6RTlgahYQfC9ieX9gHGJORFwjOxdWIiY9KUUWFkBcIThINgMKAj4EDxEGTR9wdEUde3VaVVtWVhxUbkQAcmhIRghXVwgLI3EKSVFYAhEFIHxCXQFHAgB2fmZ6DmRgCRJ0c2dkEhFlamcOBVQ6JDUtP0UvJHV3A2MOMTdGWi5vaSZUIDUrbg9gOTs+YCZPTBAVHBJcGk8qei8tTB0RSg1XDhtzBl0RNUooPDVNH3AHAQIOHwYNEAdxcBJIDBcCeh0HABYDHBxTdkFoChNdBBJbBRIBJiteNCA9NyUoLyZuEgYRMTNGPDoiNCInRWt3FAQmDQAXPCQvMUVkYWN1fgMZK1I9KjxxEg0LIi0nK0kFUSMkFBwcBXUXenQFSiFAXCFaHXZRSwA3A2tATUh+V1RDU1ISUFtHFRF4FV4ERhB5QVgOW1JZUA5aRg1RWEVAXwcWQ0QLQkInNSExPD5hJiQAIig6JQAnICp1PDZPPiokMTtPL3A/I2EmSCRzRTkrKT1uQSc2PSAALCItOj0gXQAKD04VGhxTInU9M09YGwAPERsKZBUKAicDDh4KBwM4Bh8QeVNaV0BZUk0DDRVaVRhOXABWVEhKQV0KDV1XBlwXFk9HVkQNVmIkPTAtOWE9JUVkIy1hTz0tbzQiIAApICJlJkgkcCIgMidMNSAaWi1vaR5VNikxNwAKPzkgOjwCAFdQQFVXVBR3e31hHVhJVB4TUw0UFwwGMhEEUiYZWFtBSBwaAwMaABAeCFMDVBcNCF1EWhh1REEEUERkVlUKWVJOFgYCSlAVb3R+bXlofHl6DnUxJHoAAS0uOWwBUzokIiB+AHBjfnxkfxF3fRF1caPJ3QBma2p0UD91bAAgI0JBFwgBD1IqRSkmIDBJDgdJTlVGHmFIU15iQFxZU0YfQkUKEGh/ZRgVDR0NQwBZHAgdEBlRFgddSVoUJ0xLXkp4XhMYGxNVTAdnaH9tfWh8eXsOdjEkegAaJiE6OiVUJyo4aXIRb2Z1aHB8FWRuC2BicDk+KmBreBZZby0jJD4kXEkNBk4VGhwAJjc6K0wNFgBOFQlBMQAWXHMDCBwHSFlaUBFEUkBTURVBSkkDXkFdVhhMRxJdR14ZFl0QRRhCDVEXDldFVAERRGImJiImKiQha0EqJXQzQT0jbyEkIU1uLDhlPVIlNSJrYQZIJHNSNT80JTpTdCQqMRpvHCkoImVrUxcAGgReWcLHxntqEggSXk4lAVUhAUU5PQYOHwZEDRkEHwFKQg0UZUBRVQ9OQXdBTURAGBQTBghPBBRdFg==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
120,pNnHp/DNperhxeDmseyGtdTGYqj8iqvo8KzRiK7s3HKl6oqn84G1wPum8qy86u+9t+Gm89Cq/YTFx8aLzNScv/6wzP/EwuSA6cOMkMmH5ey1+eGV3ebIl77Xpq3atrHXta4=,dA==,c2tudKz167fmhq3C/K6c33+r7eaigO+g2v+9nM2288Wm5oKmyJi1yfKu1KSx4f+xjelEfmduo5u5hdDxhNbexerzruiGnfLthsXpy/Xnb0N9RYfR44+ZkNC5gNyHr9KEqtadwcjMlNWnlNHkg9eXv1fQ2aDequXTiezTkriC9Keqxcs=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
121,ocXEpvH+pNXqx97FsPm2tN3DtszPxtbqsv3/xdrttPjdt473u5f/pcDsq6jPoeXIx9XKpdzxooGnhtHhid3Nz/vdrMGRnNrsi+XkwvjsiszfgP3ahMSB1o241beF0ZiZ0Yu5gYbB1oiVyqjg3ZS53NmMgaeZ0+yb0MWu04rCi6X9oPLjr9netPuxrO/mpZrVrcj1qcuFpurL,cw==,c2tupdjRpubpw8TLsfiTts/ustbAxPbTsdDew8Hbv/nNtpnntJHdpdL3qK7xquTOSDs6PDp0agFXBhMLABZXUTZ7KitNVwAKAQhFSSERBBk/WhULEw0QAxNCVVRWU0ZjXFcEVRVRBAgOHwxTHkUQCFkMVx8ADlUDBlVVUQNRUwF6fX8gf3VnJT9IISwxfFc7ITswajNGPCo7eDNQMXYnMyg2HXJrEGZ0d3t2EnI2OzFOKnMuJjoxQU0wCQsEBipIJicsThJWQoPxxoCC5oDcxrXs35fr2MqemdWIs9e7g9KZn93erYaZkDIeGkHehqLRxryBlI7R9bLfxZXQn8iGiMugw/Sv4e2286Cj6vSkpfuu2dJGcA5uo9/7t6jxtdXtp8SnpeuNtsXBr9KptsXEvI79puPUrMWzxd7Di939nrrDvebpxffHb1tNSMrU443X8I3e64fSttqarNegtt6bmNGKsGwbTxLVsKvc35DWvpOFjv/LoJmAiJeFoqjV1PPY7fGp2cxHdnxrx//evO+BtvTvstjbxv7UvuvgyO7NuOrst6/kvJzcqcT4f8Xb4A==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
122,pNP+pN7LpMLHxeDXsdqdtcbqsO/gx9TBs9nixfnSt//muoHNtbTvqczcqp3ZoN3lxtPHqe3UoJ6xh9nEjs7m,c3U=,c2tupdjRpubpxcvQs8+Qtd7/strCxcv0sNnbEXW06O+kzpCu76i1+9+qzqGx/dq7nMah8MWryavG6M1bhcrTyMD/r/abndX7jePpGKDdz5XP1YT+2Y2/vtGIvNOAt9KpndqE9s7hs9W9ptLqsdSjooWK+c64t4Ckp4uEttTxyNPCxKvQwKju1H/E/Oux3ZC08uiw9MYqfGt2rNOtpN7Wo9HOx/XxyO/VcH2qmP6gxOTF98yr8+mtj6yF9dGE/+zE+tiv3I+d8sOL8eTI4POA6+6D79eGy4k4Bh8Q372n07uFAgmClcvXorTIkPfdqJDf75GBjpzZ2bzS7ZzRr+1W1PrvqvvFq8/3roPgrujNxdvOqt3norjhoe/Ju5LAtsztqO+wotOhtcnKr8Wps8vDsJ7SrczIq9W+ydHgifTYnLLLsP7wyefRjO3OjojajffpturFmuTCy4CO1Iek3Yq9,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
123,pNnHp/DpperhxP7bsvWSttPysOLyz/LJv8bvxd34YnWl6ram6Yq19/us1Z27+dSwm9mq9+Wp36rF2NuL+s+ft+Kz1dvH49qA2c1aGnNSgNT6it3+i8ea172m1IKM3ous0YudgpXL16uFyJrX36mp3PG5gYCv,q9rnptPwotLKxfP1sd6atd7gsNHi,c2tupdjRpubpxdTFsPu6tfz9sNf5xeDzsd/Wxfrqtd78tLfktbzPRnNnbsbE2b/ggqrB3a7A9ce/yoT13JfCmqLO9KK33YT9wVJRGXyA3MRrg/36Ul3LpZA7AxQS0KSp0oebg6Lw1b6IyIPV3ayX3/ebgbCe096O0vmL0aTBUwl3c6v6/H6nzsMSd6fD5CpnZm+ww9XHwPWy/fbIwdW33vm6l9xhF2d7YazqiQ==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
124,pOX3pcXjpMn2xer3vMaKtMz5suvVxePjs9roycbBteLVt7HZt5zKfnF7fcXt8b3uhqnE6azfz8Gc74b6/pfonaDy2KGN3ovmxovmmqHb8pfJ4YnH542nm9y2odOQq9CNu9Ws1srxtNefvNHMntqukYm608iGoYKus4qDs9buy9nF1Kfh1an42a2P0KfM7sX30qrl3auc0Q==,c2t5,c2tuq+byqMXlxd/8se+Wu8/lssjyx+nUs+j0xd7qucLQt4fVtrHIqP3Tq47Mo87tx/Lfq+LXTxwOQ4fxxJTwnqLs/6CY84rY01FYH3eA3MS238eU6c3Io787AxQS05qv0Y60g6XR1ZyUyY7t0bCF3OmyRsWNsoC+noS1stbi19T6y6b2zKjL+6KB/abP78nTwavux2Yqemt2o82Fp9nurNzwxPnZyfH1ptLgxtjMv/OxquPqoM3tybrnidvll/OJoO7WrI7ZisTGaV0DZIPq4Lbq95X398ijiNaXq9ebkty2m9HTqYS4mdGqpYiaricPTxSCoqjT6qLR94bQo+KFl9Og4+Whzum6/qShy/2op8Kh7chGcw5urfjktY7Wtv/RpNKc,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
125,YqH2w63j92B7EXKk7fUTtdTHs8TUx+XOsd/Wxczater9tp3StqX8qc7xoZzYoeLaEn98fKz38RnG/+mL/dqeh9awwd/G5d2B1umNlcaK2fy1yMWX5sTIvY3UrJIABgYB0IqNg6jJ14mMyYzM3q+t0Mqsg7e83ueV09mB0qHohKzCofPNoM/gtvCXo9rspJf9revPqfSxofnJqu6ope/NotTLxtTnxsX8rvXH,dHV6,c2tucXh8d7fylHenyMnG29io/sernMJ3ZndixfjkZ6Pd2sXd+8f33aTB1cbJ+rzsqqr2zq7Uwcut6YTB3ZbEs6LQ5aGvwIT9wYbHv6LIw5fpz2tATUjInafXnZzVjJ7QqZsLVh9V14mMHAaHpLsfCoejwcKEuo22loaNgNX44tnp3ajb53pxYq6lx0tnbwC2592z4eLH9O+z2foScWJkoPjmEqfPqGWq1uyhnNit2vXE9Pmq1c6hk66F+cFYR1cYcrDMxypMTEVZU1gAfVBLSGZYV0JXRhwH,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch-2510:2645539f-a208-4a83-9a4d-86e47b673db0
